"","tr_covid","tr_log_income","tr_log_poverty"
"1",3,-0.228954761669716,-0.337310559431179,0.765253287477942
"2",1,0.917881235786038,0.649157111143281,0.132849555749405
"3",1,0.598454003746839,0.46969130778318,-0.49105980527588
"4",2,0.465306756672913,-0.5871870853981,1.16141528564236
"5",4,-1.3520452959111,0.399425416420501,-1.24786886214287
"6",1,0.276805170907633,0.731246822871081,-0.441922352456412
"7",2,1.02383603217538,-1.29351026005934,1.05980123099644
"8",1,-1.29664818004397,0.141226096856048,-0.669676183767151
"9",3,-0.998849286351767,-0.349462839229204,0.192598819521051
"10",4,-0.514186703379945,1.80820680834429,-1.62089636824315
"11",4,-0.442113138660543,1.85129243618951,-1.24786886214287
"12",2,0.71392624773763,-0.63296547862727,0.270455731887459
"13",2,0.249795696918129,-1.2596636282458,1.27347798435025
"14",2,-0.0510174990219064,-1.49651535483844,1.32797636639659
"15",1,0.117041521409898,0.466438240466196,-0.162900677878662
"16",2,0.628372636791856,-0.0432745035664616,0.251180277760597
"17",4,-1.51062180403693,0.847032030918006,-1.15370476190588
"18",2,0.748212259156427,-0.587727099324188,0.89281833119233
"19",2,1.18718629150112,-1.10181292483291,0.969874673894643
"20",3,-0.693212107354165,-0.733761021706285,0.152898607180273
"21",3,-0.900298954583342,-0.818807207221967,0.908388893438105
"22",2,1.78314482630582,-0.00398871557944288,-0.0538952012369991
"23",2,0.832061875045851,-1.56818746033148,2.47040242176292
"24",2,0.541031664748418,-1.2896696759396,1.31444438616437
"25",2,0.522340215959851,-0.853383603051951,0.939289441469378
"26",3,-1.28378134455702,-0.253142279228489,-0.417652440157793
"27",3,-0.874042486502986,-0.783788923032624,0.30863870647383
"28",1,-0.592578927569541,0.706463775766092,-0.162900677878662
"29",2,0.90510331536165,-1.61639920061775,1.03012448139422
"30",1,-0.869955263345773,0.709819839734572,-0.643498586065531
"31",2,1.55617296801423,-1.4007117914343,0.923878987718677
"32",2,0.359165810315851,-0.621536892719092,0.632016890222844
"33",2,3.90051252386785,-0.811130034352452,0.699375347880174
"34",1,-0.927237469472506,0.406370890076635,-0.804107466190753
"35",1,-0.592842727807312,0.808753972880775,-0.722727401189452
"36",2,0.334884658001974,0.171589745138425,1.13273250483792
"37",3,-0.850361295142741,-1.29276669680365,0.73249530367788
"38",2,1.41584457830469,-0.953427216362977,1.43408758181936
"39",2,0.658427711229506,-1.74402019181231,1.39473477655874
"40",1,-0.478871650206451,0.953707705615102,-0.696084422034934
"41",3,-0.615843666974216,-0.420373000263883,0.132849555749405
"42",4,-0.965994215048247,1.46014190142845,-1.41169702974286
"43",2,2.27763437037909,0.16319932448551,0.289608020119438
"44",4,-0.457288134008771,1.21693308867613,-1.09253301676448
"45",4,-0.125741328608123,1.60390497752974,-1.37820720008015
"46",1,-0.0839661567458194,0.902990114085984,-0.887758872470862
"47",3,-0.21937347538895,-0.839978856272551,0.765253287477942
"48",1,-0.343159686685431,0.871634535311509,-0.369694327708719
"49",1,0.283673940930265,-0.0971748306521751,-0.185185685942972
"50",1,-0.43553094782484,1.14755146620931,-0.669676183767151
"51",1,-1.19712824370659,0.233071974030749,-0.696084422034934
"52",1,-0.884200580387378,0.320950718591533,-0.669676183767151
"53",3,-0.498696888215549,-0.141835213183581,-0.0538952012369991
"54",3,-0.39567439623208,-1.22127066078608,1.35485841763071
"55",4,-0.527422602191359,2.73846344224212,-2.40006726990726
"56",1,-0.933472564012379,0.373519726503347,-0.916169641124058
"57",1,0.083959343278788,1.11029516904611,-1.12296283784913
"58",4,-1.06831171204349,1.119518481475,-1.80712425428803
"59",4,-1.28899048312722,1.39802874110838,-1.27992595921877
"60",4,-1.18090150553057,0.898464713402269,-1.41169702974286
"61",2,1.04249560321361,-0.381422380195012,0.545632675504439
"62",2,1.33925291062806,-1.10038043112356,1.00015096085813
"63",2,1.04050322905964,-0.234153756784934,1.00015096085813
"64",1,-1.079045615281,0.0273397327085403,-0.253052421656253
"65",1,0.203449265282475,0.492842715401313,-0.515933949593073
"66",1,0.196736754110801,0.828133607617916,-0.83173267959745
"67",2,0.555147680787446,-1.15666685704854,1.03012448139422
